user_id,signup_month,month,spend,treatment
1,0,1,521,FALSE
1,0,2,488,FALSE
1,0,3,479,FALSE
1,0,4,475,FALSE
1,0,5,456,FALSE
1,0,6,429,FALSE
1,0,7,462,FALSE
1,0,8,428,FALSE
1,0,9,423,FALSE
1,0,10,396,FALSE
1,0,11,369,FALSE
1,0,12,367,FALSE
2,4,1,488,TRUE
2,4,2,512,TRUE
2,4,3,465,TRUE
2,4,4,490,TRUE
2,4,5,542,TRUE
2,4,6,537,TRUE
2,4,7,561,TRUE
2,4,8,529,TRUE
2,4,9,495,TRUE
2,4,10,513,TRUE
2,4,11,439,TRUE
2,4,12,451,TRUE
3,0,1,466,FALSE
3,0,2,504,FALSE
3,0,3,483,FALSE
3,0,4,488,FALSE
3,0,5,460,FALSE
3,0,6,477,FALSE
3,0,7,411,FALSE
3,0,8,474,FALSE
3,0,9,403,FALSE
3,0,10,420,FALSE
3,0,11,410,FALSE
3,0,12,363,FALSE
4,8,1,451,TRUE
4,8,2,453,TRUE
4,8,3,465,TRUE
4,8,4,511,TRUE
4,8,5,479,TRUE
4,8,6,453,TRUE
4,8,7,394,TRUE
4,8,8,423,TRUE
4,8,9,540,TRUE
4,8,10,503,TRUE
4,8,11,459,TRUE
4,8,12,451,TRUE
5,0,1,495,FALSE
5,0,2,482,FALSE
5,0,3,479,FALSE
5,0,4,463,FALSE
5,0,5,427,FALSE
5,0,6,452,FALSE
5,0,7,400,FALSE
5,0,8,404,FALSE
5,0,9,404,FALSE
5,0,10,414,FALSE
5,0,11,393,FALSE
5,0,12,424,FALSE
6,0,1,474,FALSE
6,0,2,476,FALSE
6,0,3,471,FALSE
6,0,4,470,FALSE
6,0,5,406,FALSE
6,0,6,431,FALSE
6,0,7,414,FALSE
6,0,8,421,FALSE
6,0,9,417,FALSE
6,0,10,405,FALSE
6,0,11,334,FALSE
6,0,12,377,FALSE
7,0,1,488,FALSE
7,0,2,500,FALSE
7,0,3,461,FALSE
7,0,4,475,FALSE
7,0,5,471,FALSE
7,0,6,460,FALSE
7,0,7,436,FALSE
7,0,8,409,FALSE
7,0,9,407,FALSE
7,0,10,379,FALSE
7,0,11,402,FALSE
7,0,12,374,FALSE
8,0,1,443,FALSE
8,0,2,501,FALSE
8,0,3,462,FALSE
8,0,4,457,FALSE
8,0,5,454,FALSE
8,0,6,465,FALSE
8,0,7,418,FALSE
8,0,8,433,FALSE
8,0,9,418,FALSE
8,0,10,387,FALSE
8,0,11,413,FALSE
8,0,12,395,FALSE
9,0,1,477,FALSE
9,0,2,461,FALSE
9,0,3,453,FALSE
9,0,4,454,FALSE
9,0,5,434,FALSE
9,0,6,460,FALSE
9,0,7,459,FALSE
9,0,8,452,FALSE
9,0,9,408,FALSE
9,0,10,385,FALSE
9,0,11,378,FALSE
9,0,12,369,FALSE
10,11,1,479,TRUE
10,11,2,474,TRUE
10,11,3,448,TRUE
10,11,4,486,TRUE
10,11,5,482,TRUE
10,11,6,447,TRUE
10,11,7,416,TRUE
10,11,8,441,TRUE
10,11,9,408,TRUE
10,11,10,416,TRUE
10,11,11,392,TRUE
10,11,12,489,TRUE
11,0,1,510,FALSE
11,0,2,498,FALSE
11,0,3,464,FALSE
11,0,4,480,FALSE
11,0,5,484,FALSE
11,0,6,474,FALSE
11,0,7,440,FALSE
11,0,8,420,FALSE
11,0,9,410,FALSE
11,0,10,391,FALSE
11,0,11,395,FALSE
11,0,12,355,FALSE
12,8,1,482,TRUE
12,8,2,515,TRUE
12,8,3,479,TRUE
12,8,4,462,TRUE
12,8,5,431,TRUE
12,8,6,433,TRUE
12,8,7,438,TRUE
12,8,8,405,TRUE
12,8,9,529,TRUE
12,8,10,510,TRUE
12,8,11,495,TRUE
12,8,12,450,TRUE
13,0,1,492,FALSE
13,0,2,524,FALSE
13,0,3,444,FALSE
13,0,4,426,FALSE
13,0,5,451,FALSE
13,0,6,445,FALSE
13,0,7,445,FALSE
13,0,8,424,FALSE
13,0,9,405,FALSE
13,0,10,406,FALSE
13,0,11,376,FALSE
13,0,12,384,FALSE
14,0,1,455,FALSE
14,0,2,456,FALSE
14,0,3,455,FALSE
14,0,4,464,FALSE
14,0,5,435,FALSE
14,0,6,391,FALSE
14,0,7,442,FALSE
14,0,8,402,FALSE
14,0,9,415,FALSE
14,0,10,348,FALSE
14,0,11,436,FALSE
